formerly,Family,2014 Checklist Species,Authority,FOODPLANT,1,2,3,4,5,6,7,8,9,10,11,12,gen,HABIT,Notes,Cameron synonym,NOTES,forum members,"Cameron larvae vol,pl.-fig. ",Species with larvae illustrated in Vollenhoven,Voll. no.,V.H.Chambers Notebooks,KJGrearson,Quinlan,Zahradnik,Chinery,Carter & H.,Redfern & Shirley,D.R.Smith,Denbighs,Derbys,Chesh.,Lancs.,web link,,,
,Cephidae,Trachelus troglodyta,"(Fabricius,1787)",Poaceae: Secale cereale (Rye),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,fig. 19,,,,,,,,,,,,,
Zaraea aenea,Cimbicidae,Abia aenea,"(Klug,1820)",Lonicera spp. (honeysuckles),,,,,,,,,,,,,,"Solitary, free",,,"only one British record, adult. Devon",,,"Abia negricornis, Leach; A. aenea Kl.",V010,,,fig. 22,,,,,,,,,,,,,
Zaraea aenea,Cimbicidae,Abia aenea,"(Klug,1820)",Symphoricarpos spp. (Snowberry),,,,,,,,,,,,,,"Solitary, free",,,"only one British record, adult. Devon",,,"Abia negricornis, Leach; A. aenea Kl.",V010,,,fig. 22,,,,,,,,,,,,,
,Cimbicidae,Abia candens,"Konow,1887",unknown,,,,,,,,,,,,,,"Solitary, free",,,widespread adult females. larva unknown,,,,,,KJG,fig. 22,,,,,,,,,[59/60],,,,
"Zaraea fasciata (Linnaeus, 1758)",Cimbicidae,Abia fasciata,"(Linnaeus,1758)","Caprifoliaceae (Honeysuckles, etc)",,,,,,,,,,,,,,"Solitary, free",,Abia fasciata,,I.F. Smith,"2,13-1",,,,KJG,fig. 22,,,,,,,57,58,,,,,
,Cimbicidae,Abia fasciata,"(Linnaeus,1758)",Leycesteria formosa (Himalayan Honeysuckle),,,,,,,,,,,,,,"Solitary, free",,Abia fasciata,,I.F. Smith,"2,13-1",,,,KJG,fig. 22,,,,,,,57,58,,,,,
,Cimbicidae,Abia fasciata,"(Linnaeus,1758)",Lonicera spp. (honeysuckles),,,,,,,,,,,,,,"Solitary, free",,Abia fasciata,,I.F. Smith,"2,13-1",,,,KJG,fig. 22,,,,,,,57,58,,,,,
,Cimbicidae,Abia fasciata,"(Linnaeus,1758)",Symphoricarpos spp. (Snowberry),,,,,,,,,,,,,,"Solitary, free",,Abia fasciata,,I.F. Smith,"2,13-1",,,,KJG,fig. 22,,,,,,,57,58,,,,,
"Zaraea lonicerae (Linnaeus, 1758)",Cimbicidae,Abia lonicerae,"(Linnaeus,1758)",Lonicera spp. (honeysuckles),,,,,,,,,,,,,,"Solitary, free",,Abia nigricornis,"purple dorsal spots, orange subdorsal line",,,,,,,fig. 22,,,,,,,,,,,,,
Zaraea lonicerae,Cimbicidae,Abia lonicerae,"(Linnaeus,1758)",Symphoricarpos spp. (Snowberry),,,,,,,,,,,,,,"Solitary, free",,Abia nigricornis,"purple dorsal spots, orange subdorsal line",,,,,,,fig. 22,,,,,,,,,,,,,
,Cimbicidae,Abia sericea,"(Linnaeus,1767)",Knautia arvensis (Field Scabious),,,,,,,,,,,,,,"Solitary, free",,Abia nitens,,I.F. Smith,"2,11-9",,,,KJG,fig. 22,,,,,,,,[58],,,,,
Zaraea sericea ,Cimbicidae,Abia sericea,"(Linnaeus,1767)",Succisa pratensis (Devil'sbit Scabious),,,,,,,,,,,,,,"Solitary, free",,Abia nitens,,I.F. Smith,"2,11-9",,,,KJG,fig. 22,,,,,,,,[58],,,,,
,Cimbicidae,Cimbex connatus,"(Schrank,1776)",Alnus spp. (Alders),,,,,,,,,,,,,,"Solitary, free",,,,,,Cimbex connata Schr. ; montana Pz.,V001,,KJG,fig. 22,,,,,,,,,,,,,
,Cimbicidae,Cimbex femoratus,"(Linnaeus,1758)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, free",,Cimbex sylvarum,,,"2,12-3",C.sylvarum,V002,,KJG,fig. 22,,p295,p199-3,,,,,58,[59/60],,,,
,Cimbicidae,Cimbex luteus,"(Linnaeus,1758)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, free",,Cimbex lutea,,,"2,12-5&6",Cimbex femorata  = C.lutea; ,V003,,,fig. 22,,,,,,,57,,,,,,
,Cimbicidae,Cimbex luteus,"(Linnaeus,1758)",Populus spp. (Poplars),,,,,,,,,,,,,,"Solitary, free",,Cimbex lutea,,,"2,12-5&6",Cimbex femorata  = C.lutea; ,V003,,,fig. 22,,,,,,,57,,,,,,
,Cimbicidae,Cimbex luteus,"(Linnaeus,1758)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,"Solitary, free",,Cimbex lutea,,,"2,12-5&6",Cimbex femorata  = C.lutea; ,V003,,,fig. 22,,,,,,,57,,,,,,
,Cimbicidae,Trichiosoma lucorum,"(Linnaeus,1758)",Betula spp. (Birches),,,,,,,,,,,,,,"Solitary, free",,"Trichiosoma lucorum, T.betuletimisident",,I.F. Smith,"2,11-10 2,12-1","Cimbex betuleti,Kl.;C.crataegi,Zadd.?; C. lucorum",V007 V005,,,fig. 22,,,,,,,,58,[59/60],,,,
,Cimbicidae,Trichiosoma lucorum,"(Linnaeus,1758)",Crataegus spp. (Hawthorns),,,,,,,,,,,,,,"Solitary, free",,"Trichiosoma lucorum, T.betuletimisident",,I.F. Smith,"2,11-10 2,12-1","Cimbex betuleti,Kl.;C.crataegi,Zadd.?; C. lucorum",V007 V005,,,fig. 22,,,,,,,,58,[59/60],,,,
,Cimbicidae,Trichiosoma lucorum,"(Linnaeus,1758)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,"Solitary, free",,"Trichiosoma lucorum, T.betuletimisident",,I.F. Smith,"2,11-10 2,12-1","Cimbex betuleti,Kl.;C.crataegi,Zadd.?; C. lucorum",V007 V005,,,fig. 22,,,,,,,,58,[59/60],,,,
,Cimbicidae,Trichiosoma sorbi,"Hartig,1840",Sorbus aucuparia (Rowan),,,,,,,,,,,,,,"Solitary, free",,Trichiosoma scalesiinec Leach,,,"2,12-2",,,,,fig. 22,,,,,,,,,[59/60],,,,
,Cimbicidae,Trichiosoma vitellina,"(Linnaeus,1760)","Salix spp. (Sallows, Willows)",,,,,,,,,,,,,,"Solitary, free",,Trichiosoma vitellinae,rare,,"1,10-14 & 15",Cimbex vitellinae L.; lateralisLeach,V006,,,fig. 22,,,,,,,,,,,,,
,Diprionidae,Diprion pini,"(Linnaeus,1758)",Pinacea: Pinus spp. (Pines),,,,,,,,,,,,,,"Gregarious, free",,Lophyrus pini,,,"2,12-7&11","Lophyrus pini,L.",V025,,KJG,fig. 23,p51-5,,p199-1,,,,,,59/60,,,,
,Diprionidae,Diprion similis,"(Hartig,1836)",Pinacea: Pinus spp. (Pines),,,,,,,,,,,,,,"Solitary, free",Newly hatched larvae are gregarious but later stages live independently,,,,,"Lophyrus simile,Hart.",V026,,,fig. 23,,,,,,,,58,,,,,
,Diprionidae,Gilpinia frutetorum,"(Fabricius,1793)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Gregarious, free",,,"Tayside, Rannoch, Moray",,,,,,,fig. 23,,,,,,,,,,,,,
,Diprionidae,Gilpinia hercyniae,"(Hartig,1837)",Pinacea: Picea abies (Norway Spruce),,,,,,,,,,,,,,"Solitary, free","Larvae of all ages feed singly; old needles are preferred, but both old and new needles are consumed",,,,,,,,,fig. 23,,,,,,,,,,http://www.cfl.cfs.nrcan.gc.ca/imfoc-idwcf/ficheinsecte_e.asp?id=6555,,,
,Diprionidae,Gilpinia hercyniae,"(Hartig,1837)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Solitary, free","Larvae of all ages feed singly; old needles are preferred, but both old and new needles are consumed",,,,,,,,,fig. 23,,,,,,,,,,http://www.cfl.cfs.nrcan.gc.ca/imfoc-idwcf/ficheinsecte_e.asp?id=6555,,,
,Diprionidae,Gilpinia pallida,"(Klug,1812)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Gregarious, free",,Lophyrus pallidus,,,"2,12-9",,,,,fig. 23,,,,,,,,,[59/60],,,,
,Diprionidae,Gilpinia virens,"(Klug,1812)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Solitary, free",Dense colonies of 10-60 individuals,,only 2 larvae found & reared Brit.(Berks.),,,Lophyrus virens Klug,V022,,,fig. 23,,,,,,,,,,,,,
,Diprionidae,Heptamelus ochroleucus,"(Stephens,1835)",Filicales (true ferns),,,,,,,,,,,,,,Mine:stem,,,,,,,,,,,,,,,,,,,,,,,
,Diprionidae,Microdiprion pallipes,"(Fallén,1808)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Solitary, free",The young instars fed on needles and stems of the current year's shoots. Third stage and older larvae also utilised old foliage when the new foliage was depleted.,,,,,,,,,fig. 23,,,,,,,,,,,,,
,Diprionidae,Monoctenus juniperi,"(Linnaeus,1758)",Juniperus communis (Juniper),,,,,x,x,x,,,,,,,"Solitary, free","Larvae hatch during mid to late May. They become full-grown after four to six weeks after which the full-grown larvae drop from the plant and spin a cocoon within the leaf litter and upper soil. Peak feeding typically occurs in early June, although some larvae may be found through mid-July.",,,,,,,,,fig. 23,,,,,,,,,,,,,
,Diprionidae,Neodiprion sertifer,"(Geoffroy,1785)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Gregarious, free",,Lophyrus sertiferus,,,"3,5-4&5",Lophyrus rufusKlug,V029,,,fig. 23,,,,,,,57,58,[59/60],http://www.pfc.forestry.ca/entomology/defoliators/conifer%5Fsawflies/european%5Fpine%5Fe.html,,,
,Orrusidae,Orussus abietinus,"(Scopoli,1763)",unstated,,,,,,,x,,,,,,,Mine:heartwood,"phytophagous and predacious (in wood, predacious in the later instars on wood-boring beetle larvae)",,EXTINCT,,,,,,,,,,,,,,,,,,,,
,Pamphiliidae,Acantholyda erythrocephala,"(Linnaeus,1758)",Pinacea: Pinus spp. (Pines),,,,,,,,,,,,,,"Gregarious, web","Young larvae spin loose webs in which they feed gregariously on old needles, which they cut off and then pull into the web to eat. Older larvae are solitary and feed from silken tubes bound to twigs.",,,,,Pamphilius erythrocephalus Linn.,V209a,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Acantholyda erythrocephala,"(Linnaeus,1758)",Pinacea: Pinus sylvestris (Scots Pine),,,,,,,,,,,,,,"Gregarious, web","Young larvae spin loose webs in which they feed gregariously on old needles, which they cut off and then pull into the web to eat. Older larvae are solitary and feed from silken tubes bound to twigs.",,,,,Pamphilius erythrocephalus Linn.,V209a,,,fig. 17,,,,,,,,,,,,,
,Pamphiliidae,Acantholyda posticalis,"(Matsumura,1912)",Pinacea: Pinus spp. (Pines),,,,,,,,,,,,,,,,,,,,,,,,fig. 17,,,,,,,,[58],,,,,
